,Date,Name,Budget
0,"Dec 25, 2002",Catch Me if You Can," $52,000,000"
1,"Jul 2, 2008",Mamma Mia!," $52,000,000"
2,"Jun 2, 2006",The Break-Up," $52,000,000"
3,"Feb 12, 2010",Valentine's Day," $52,000,000"
4,"Nov 22, 1995",Casino," $52,000,000"
5,"Aug 5, 2011",The Change-Up," $52,000,000"
6,"Dec 23, 1998",The Thin Red Line," $52,000,000"
7,"Dec 22, 1999",Man on the Moon," $52,000,000"
8,"Feb 5, 2010",From Paris With Love," $52,000,000"
9,"Apr 16, 2003",Bulletproof Monk," $52,000,000"
10,"Jun 23, 2000","Me, Myself & Irene"," $51,000,000"
11,"Aug 4, 2006",Barnyard: The Original Party Animals," $51,000,000"
12,"Aug 15, 2018",Alpha," $51,000,000"
13,"Nov 22, 2006",Deck the Halls," $51,000,000"
14,"Mar 4, 2011",The Adjustment Bureau," $50,200,000"
15,"Nov 19, 2009",The Twilight Saga: New Moon," $50,000,000"
16,"May 18, 2001",Shrek," $50,000,000"
17,"Jun 29, 2012",Ted," $50,000,000"
18,"Jun 5, 2014",22 Jump Street," $50,000,000"
19,"Jun 14, 1991",Robin Hood: Prince of Thieves," $50,000,000"
20,"Dec 13, 1996",Jerry Maguire," $50,000,000"
21,"Dec 25, 2015",Daddyâs Home," $50,000,000"
22,"Dec 24, 1997",As Good as it Gets," $50,000,000"
23,"Dec 25, 1998",Patch Adams," $50,000,000"
24,"Jun 16, 2016",Central Intelligence," $50,000,000"
25,"Dec 18, 2013",Anchorman 2: The Legend Continues," $50,000,000"
26,"Jun 10, 2011",Super 8," $50,000,000"
27,"Jun 28, 2002",Mr. Deeds," $50,000,000"
28,"Mar 17, 2000",Erin Brockovich," $50,000,000"
29,"Nov 21, 2018",Creed II," $50,000,000"
30,"Feb 8, 2018",Peter Rabbit," $50,000,000"
31,"Feb 7, 2003",How to Lose a Guy in 10 Days," $50,000,000"
32,"Nov 11, 1994",Interview with the Vampire: The Vampire Chronicles," $50,000,000"
33,"Dec 14, 2018",The Mule," $50,000,000"
34,"Dec 19, 2008",Yes Man," $50,000,000"
35,"Feb 28, 2014",Non-Stop," $50,000,000"
36,"Dec 25, 1998",Stepmom," $50,000,000"
37,"Aug 9, 2013",Disney Planes," $50,000,000"
38,"Mar 10, 2006",Failure to Launch," $50,000,000"
39,"Mar 24, 2006",Inside Man," $50,000,000"
40,"Jul 26, 2017",The Emoji Movie," $50,000,000"
41,"Jul 29, 2011","Crazy, Stupid, Love"," $50,000,000"
42,"Dec 22, 2017",The Post," $50,000,000"
43,"Feb 5, 1999",Payback," $50,000,000"
44,"Jun 9, 1995",Congo," $50,000,000"
45,"Mar 20, 2009",Knowing," $50,000,000"
46,"Mar 18, 2005",The Ring Two," $50,000,000"
47,"Dec 23, 2011",We Bought a Zoo," $50,000,000"
48,"Sep 23, 2011",Moneyball," $50,000,000"
49,"Jun 11, 2004",Garfield: The Movie," $50,000,000"
50,"Nov 24, 2004",Christmas with the Kranks," $50,000,000"
51,"Mar 17, 2006",V for Vendetta," $50,000,000"
52,"Mar 10, 1995",Outbreak," $50,000,000"
53,"Mar 13, 2009",Race to Witch Mountain," $50,000,000"
54,"Sep 24, 2004",The Forgotten," $50,000,000"
55,"Jun 22, 2005",Herbie: Fully Loaded," $50,000,000"
56,"Feb 7, 2003",Shanghai Knights," $50,000,000"
57,"Jul 17, 2014",Planes: Fire and Rescue," $50,000,000"
58,"Feb 10, 2006",Curious George," $50,000,000"
59,"Apr 4, 2012",American Reunion," $50,000,000"
60,"Jan 25, 2013",Hansel & Gretel: Witch Hunters," $50,000,000"
61,"Feb 18, 2011",I am Number Four," $50,000,000"
62,"Sep 28, 2001",Donât Say a Word," $50,000,000"
63,"Jan 15, 2016",13 Hours: The Secret Soldiers of Benghazi," $50,000,000"
64,"May 8, 2002",Unfaithful," $50,000,000"
65,"Aug 23, 2017",American Made," $50,000,000"
66,"Nov 23, 2005",Syriana," $50,000,000"
67,"Sep 10, 2004",Resident Evil: Apocalypse," $50,000,000"
68,"Oct 17, 2014",The Book of Life," $50,000,000"
69,"Feb 14, 1997",Absolute Power," $50,000,000"
70,"Feb 10, 2006",Firewall," $50,000,000"
71,"Sep 12, 1997",The Game," $50,000,000"
72,"Aug 22, 1997",G.I. Jane," $50,000,000"
73,"Aug 8, 2014",Into the Storm," $50,000,000"
74,"Oct 10, 2014",The Judge," $50,000,000"
75,"Apr 21, 2006",Silent Hill," $50,000,000"
76,"Sep 19, 2019",Rambo: Last Blood," $50,000,000"
77,"Aug 11, 2000",The Replacements," $50,000,000"
78,"Jul 29, 1998",The Negotiator," $50,000,000"
79,"Aug 19, 2016",War Dogs," $50,000,000"
80,"May 25, 1994",Beverly Hills Cop III," $50,000,000"
81,"Jun 15, 1990",Gremlins 2: The New Batch," $50,000,000"
82,"Sep 26, 1997",The Peacemaker," $50,000,000"
83,"Oct 3, 2003",Out of Time," $50,000,000"
84,"Nov 12, 2004",Bridget Jones: The Edge Of Reason," $50,000,000"
85,"Feb 11, 2000",The Beach," $50,000,000"
86,"Jun 10, 2005",The Adventures of Sharkboy and Lavagirl in 3-D," $50,000,000"
87,"Feb 18, 1994",On Deadly Ground," $50,000,000"
88,"Nov 25, 2009",Ninja Assassin," $50,000,000"
89,"May 28, 2004",Raising Helen," $50,000,000"
90,"May 19, 2016",The Nice Guys," $50,000,000"
91,"Sep 17, 1999",For Love of the Game," $50,000,000"
92,"Dec 11, 1998",Jack Frost," $50,000,000"
93,"Jun 4, 2010",Marmaduke," $50,000,000"
94,"Jun 28, 1996",Striptease," $50,000,000"
95,"Oct 15, 2010",Hereafter," $50,000,000"
96,"Apr 19, 2002",Murder by Numbers," $50,000,000"
97,"Oct 6, 1995",Assassins," $50,000,000"
98,"Dec 22, 2017",Hostiles," $50,000,000"
99,"Feb 5, 2016",Zoolander 2," $50,000,000"
